estado,detalle,ciudad,fecha,recaudo,flete,transportadora
PAGADA,Entrega Exitosa,VILLAVICENCIO,46230,75941,16041,INTERRAPIDISIMO
PAGADA,Entrega Exitosa,CISNEROS,46230,82255,22355,INTERRAPIDISIMO
PAGADA,Entrega Exitosa,VENTAQUEMADA,46230,80451,20551,INTERRAPIDISIMO
PAGADA,Entrega Exitosa,SEGOVIA,46230,82255,22355,INTERRAPIDISIMO
FINALIZADA,Entrega Exitosa,SAN JACINTO DEL CAUCA,46230,82255,22355,INTERRAPIDISIMO
GENERADA,,PUENTE QUETAME,46219,82031,22031,SERVIENTREGA
PAGADA,Entrega Exitosa,MACEO,46219,150473,30473,INTERRAPIDISIMO
PAGADA,Entrega Exitosa,SABANA DE TORRES,46218,82363,22363,INTERRAPIDISIMO
PAGADA,Entrega Exitosa,INZA,46218,82363,22363,INTERRAPIDISIMO
PAGADA,Entrega Exitosa,BURITICA,46218,82363,22363,INTERRAPIDISIMO
EMPACADA,Enviado,MACEO,46218,82363,22363,INTERRAPIDISIMO
